period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_movimentacoes;ft_fora_do_prazo;ft_exclusoes
2023-08m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202308/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202308.txt";";&CAGEDFOR202308.txt";";&CAGEDEXC202308.txt"
2023-09m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202309/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202309.txt";";&CAGEDFOR202309.txt";";&CAGEDEXC202309.txt"
2023-10m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202310/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202310.txt";";&CAGEDFOR202310.txt";";&CAGEDEXC202310.txt"
2023-11m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202311/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202311.txt";";&CAGEDFOR202311.txt";";&CAGEDEXC202311.txt"
2023-12m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202312/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202312.txt";";&CAGEDFOR202312.txt";";&CAGEDEXC202312.txt"
2024-01m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202401/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202401.txt";";&CAGEDFOR202401.txt";";&CAGEDEXC202401.txt"
2024-02m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202402/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202402.txt";";&CAGEDFOR202402.txt";";&CAGEDEXC202402.txt"
2024-03m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202403/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202403.txt";";&CAGEDFOR202403.txt";";&CAGEDEXC202403.txt"
2024-04m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202404/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202404.txt";";&CAGEDFOR202404.txt";";&CAGEDEXC202404.txt"
2024-05m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202405/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202405.txt";";&CAGEDFOR202405.txt";";&CAGEDEXC202405.txt"
2024-06m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202406/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202406.txt";";&CAGEDFOR202406.txt";";&CAGEDEXC202406.txt"
2024-07m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202407/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202407.txt";";&CAGEDFOR202407.txt";";&CAGEDEXC202407.txt"
2024-08m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202408/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202408.txt";";&CAGEDFOR202408.txt";";&CAGEDEXC202408.txt"
2024-09m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202409/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202409.txt";";&CAGEDFOR202409.txt";";&CAGEDEXC202409.txt"
2024-10m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202410/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202410.txt";";&CAGEDFOR202410.txt";";&CAGEDEXC202410.txt"
2024-11m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202411/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202411.txt";";&CAGEDFOR202411.txt";";&CAGEDEXC202411.txt"
2024-12m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202412/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202412.txt";";&CAGEDFOR202412.txt";";&CAGEDEXC202412.txt"
